p,inv_alpha_pred,inv_alpha_err_ppm,v_EW_pred,v_EW_err_pct,core_score_pct,n_s_pred,n_s_sigma,dist_from_lo,dist_from_hi,is_baseline,curvature,robustness,classification
106747,137.47316563,3190.158,245.343405,0.356021,0.338025,0.96837921,0.8284,0.41976,0.58024,0,1.978e-09,0.00337968,robust-interior|robust
107761,137.69218203,4788.398,246.267171,0.019158,0.338862,0.9684787,0.8521,0.57113,0.42887,0,1.929e-09,0.00340402,robust-interior
106739,137.47143014,3177.494,245.336095,0.35899,0.338997,0.96837842,0.8282,0.41857,0.58143,0,1.962e-09,0.00339477,robust-interior
107773,137.69476265,4807.23,246.278071,0.023585,0.340331,0.96847987,0.8524,0.57292,0.42708,0,1.908e-09,0.00341813,robust-interior
106727,137.46882669,3158.496,245.32513,0.363443,0.340479,0.96837724,0.8279,0.41678,0.58322,0,1.944e-09,0.00341462,robust-interior
107777,137.6956228,4813.507,246.281704,0.025061,0.340827,0.96848026,0.8524,0.57352,0.42648,0,1.887e-09,0.00341813,robust-interior
106721,137.46752487,3148.996,245.319648,0.36567,0.34123,0.96837664,0.8278,0.41588,0.58412,0,1.919e-09,0.00341462,robust-interior
107791,137.69863309,4835.474,246.29442,0.030225,0.342587,0.96848163,0.8528,0.57561,0.42439,0,1.848e-09,0.00343227,robust-interior
106703,137.46361899,3120.493,245.303199,0.372351,0.343526,0.96837487,0.8273,0.4132,0.5868,0,1.899e-09,0.00342579,robust-interior
106699,137.46275094,3114.159,245.299543,0.373835,0.344044,0.96837447,0.8273,0.4126,0.5874,0,1.88e-09,0.0034397,robust-interior
106693,137.4614488,3104.657,245.294059,0.376062,0.344827,0.96837388,0.8271,0.4117,0.5883,0,1.864e-09,0.0034397,robust-interior
106681,137.45884432,3085.651,245.283092,0.380517,0.346414,0.96837269,0.8268,0.40991,0.59009,0,1.844e-09,0.003448,robust-interior
107827,137.70637218,4891.949,246.327113,0.043503,0.347278,0.96848514,0.8536,0.58098,0.41902,0,1.806e-09,0.00349867,robust-interior
106669,137.45623958,3066.643,245.272123,0.384971,0.348027,0.96837151,0.8265,0.40812,0.59188,0,1.823e-09,0.00345935,robust-interior
107837,137.70852151,4907.633,246.336193,0.047191,0.348623,0.96848611,0.8538,0.58247,0.41753,0,1.773e-09,0.00350653,robust-interior
106663,137.45493711,3057.138,245.266639,0.387199,0.348844,0.96837091,0.8264,0.40722,0.59278,0,1.809e-09,0.00346533,robust-interior
107839,137.70895136,4910.77,246.338009,0.047928,0.348894,0.96848631,0.8539,0.58277,0.41723,0,1.761e-09,0.00350653,robust-interior
106661,137.45450294,3053.97,245.264811,0.387941,0.349117,0.96837071,0.8264,0.40693,0.59307,0,1.8e-09,0.00346533,robust-interior
107843,137.70981102,4917.043,246.341641,0.049403,0.349438,0.9684867,0.854,0.58337,0.41663,0,1.747e-09,0.00352109,robust-interior
106657,137.45363457,3047.633,245.261154,0.389427,0.349667,0.96837032,0.8263,0.40633,0.59367,0,1.791e-09,0.00347795,robust-interior
106649,137.45189775,3034.959,245.253841,0.392397,0.350774,0.96836953,0.8261,0.40514,0.59486,0,1.774e-09,0.003504,robust-interior
107857,137.71281963,4938.998,246.354352,0.054566,0.351365,0.96848806,0.8543,0.58546,0.41454,0,1.728e-09,0.00352825,robust-interior
106637,137.44929229,3015.946,245.24287,0.396852,0.352456,0.96836834,0.8258,0.40334,0.59666,0,1.754e-09,0.00351339,robust-interior
107867,137.71496841,4954.679,246.36343,0.058253,0.352762,0.96848903,0.8545,0.58695,0.41305,0,1.707e-09,0.00353641,robust-interior
107873,137.7162576,4964.086,246.368877,0.060465,0.353608,0.96848962,0.8547,0.58785,0.41215,0,1.69e-09,0.00354332,robust-interior
106627,137.44712087,3000.101,245.233728,0.400565,0.353878,0.96836735,0.8256,0.40185,0.59815,0,1.734e-09,0.00353167,robust-interior
106621,137.44581793,2990.593,245.228242,0.402793,0.354739,0.96836676,0.8254,0.40096,0.59904,0,1.722e-09,0.00353826,robust-interior
107881,137.7179764,4976.629,246.376139,0.063415,0.354746,0.9684904,0.8549,0.58904,0.41096,0,1.67e-09,0.0035519,robust-interior
106619,137.4453836,2987.423,245.226413,0.403536,0.355027,0.96836656,0.8254,0.40066,0.59934,0,1.697e-09,0.00353826,robust-interior
107897,137.72141367,5001.712,246.390663,0.069313,0.357054,0.96849195,0.8552,0.59143,0.40857,0,1.649e-09,0.00357453,robust-interior
107903,137.72270253,5011.117,246.396109,0.071525,0.357931,0.96849254,0.8554,0.59233,0.40767,0,1.621e-09,0.00358189,robust-interior
106591,137.43930222,2943.045,245.20081,0.413935,0.359136,0.96836379,0.8247,0.39648,0.60352,0,1.645e-09,0.00358071,robust-interior
107923,137.72699824,5042.464,246.414261,0.078897,0.360894,0.96849448,0.8558,0.59531,0.40469,0,1.6e-09,0.00362292,robust-interior
107927,137.7278573,5048.733,246.417891,0.080372,0.361495,0.96849487,0.8559,0.59591,0.40409,0,1.575e-09,0.00363211,robust-interior
107941,137.73086376,5070.673,246.430596,0.085532,0.363616,0.96849624,0.8562,0.598,0.402,0,1.556e-09,0.00364979,robust-interior
107951,137.73301102,5086.342,246.43967,0.089217,0.36515,0.96849721,0.8565,0.59949,0.40051,0,1.527e-09,0.00366588,robust-interior
106543,137.4288736,2866.944,245.156909,0.431765,0.366479,0.96835904,0.8236,0.38931,0.61069,0,1.593e-09,0.0036758,robust-interior
106541,137.42843898,2863.772,245.15508,0.432508,0.366793,0.96835884,0.8235,0.38901,0.61099,0,1.557e-09,0.0036758,robust-interior
106537,137.42756972,2857.429,245.151421,0.433994,0.367423,0.96835845,0.8234,0.38842,0.61158,0,1.549e-09,0.00368374,robust-interior
107971,137.73730498,5117.676,246.457817,0.096587,0.368263,0.96849915,0.8569,0.60248,0.39752,0,1.501e-09,0.00368352,robust-interior
